category_list,category
adventure travel,Automotive...Sports
aerospace,Automotive...Sports
auto,Automotive...Sports
automated kiosk,Automotive...Sports
automotive,Automotive...Sports
bicycles,Automotive...Sports
boating industry,Automotive...Sports
cad,Automotive...Sports
cars,Automotive...Sports
design,Automotive...Sports
designers,Automotive...Sports
drones,Automotive...Sports
electric vehicles,Automotive...Sports
fuels,Automotive...Sports
heavy industry,Automotive...Sports
industrial automation,Automotive...Sports
limousines,Automotive...Sports
soccer,Automotive...Sports
sporting goods,Automotive...Sports
sports,Automotive...Sports
transportation,Automotive...Sports
unmanned air systems,Automotive...Sports
air pollution control,Cleantech...Semiconductors
aquaculture,Cleantech...Semiconductors
bio-pharm,Cleantech...Semiconductors
biofuels,Cleantech...Semiconductors
bioinformatics,Cleantech...Semiconductors
biomass power generation,Cleantech...Semiconductors
biometrics,Cleantech...Semiconductors
biotechnology,Cleantech...Semiconductors
bitcoin,Cleantech...Semiconductors
carbon,Cleantech...Semiconductors
chemicals,Cleantech...Semiconductors
clean energy,Cleantech...Semiconductors
clean technology,Cleantech...Semiconductors
clean technology it,Cleantech...Semiconductors
commercial solar,Cleantech...Semiconductors
commodities,Cleantech...Semiconductors
concentrated solar power,Cleantech...Semiconductors
disruptive models,Cleantech...Semiconductors
early-stage technology,Cleantech...Semiconductors
energy,Cleantech...Semiconductors
energy efficiency,Cleantech...Semiconductors
energy it,Cleantech...Semiconductors
energy management,Cleantech...Semiconductors
energy storage,Cleantech...Semiconductors
environmental innovation,Cleantech...Semiconductors
fertility,Cleantech...Semiconductors
fuel cells,Cleantech...Semiconductors
funeral industry,Cleantech...Semiconductors
gas,Cleantech...Semiconductors
green,Cleantech...Semiconductors
green consumer goods,Cleantech...Semiconductors
home & garden,Cleantech...Semiconductors
home automation,Cleantech...Semiconductors
home decor,Cleantech...Semiconductors
lighting,Cleantech...Semiconductors
material science,Cleantech...Semiconductors
mechanical solutions,Cleantech...Semiconductors
minerals,Cleantech...Semiconductors
mining technologies,Cleantech...Semiconductors
nanotechnology,Cleantech...Semiconductors
natural language processing,Cleantech...Semiconductors
natural resources,Cleantech...Semiconductors
recycling,Cleantech...Semiconductors
renewable energies,Cleantech...Semiconductors
renewable tech,Cleantech...Semiconductors
semiconductor manufacturing equipment,Cleantech...Semiconductors
semiconductors,Cleantech...Semiconductors
solar,Cleantech...Semiconductors
space travel,Cleantech...Semiconductors
waste management,Cleantech...Semiconductors
water,Cleantech...Semiconductors
water purification,Cleantech...Semiconductors
wearables,Cleantech...Semiconductors
art,Entertainment
artists globally,Entertainment
audio,Entertainment
audiobooks,Entertainment
brewing,Entertainment
business travelers,Entertainment
casual games,Entertainment
celebrity,Entertainment
coffee,Entertainment
comics,Entertainment
concerts,Entertainment
console gaming,Entertainment
content,Entertainment
content creators,Entertainment
content delivery,Entertainment
content discovery,Entertainment
content syndication,Entertainment
contests,Entertainment
craft beer,Entertainment
creative,Entertainment
creative industries,Entertainment
digital entertainment,Entertainment
digital media,Entertainment
digital rights management,Entertainment
digital signage,Entertainment
e-books,Entertainment
ebooks,Entertainment
educational games,Entertainment
edutainment,Entertainment
entertainment,Entertainment
entertainment industry,Entertainment
event management,Entertainment
events,Entertainment
fantasy sports,Entertainment
fashion,Entertainment
film,Entertainment
film distribution,Entertainment
film production,Entertainment
freetoplay gaming,Entertainment
gambling,Entertainment
game,Entertainment
game mechanics,Entertainment
games,Entertainment
gamification,Entertainment
hotels,Entertainment
in-flight entertainment,Entertainment
independent music labels,Entertainment
interface design,Entertainment
interior design,Entertainment
jewelry,Entertainment
leisure,Entertainment
lifestyle,Entertainment
lifestyle businesses,Entertainment
lifestyle products,Entertainment
media,Entertainment
mobile games,Entertainment
mobile video,Entertainment
music,Entertainment
music education,Entertainment
music services,Entertainment
music venues,Entertainment
musical instruments,Entertainment
musicians,Entertainment
online gaming,Entertainment
online video advertising,Entertainment
photo editing,Entertainment
photo sharing,Entertainment
photography,Entertainment
resorts,Entertainment
restaurants,Entertainment
reviews and recommendations,Entertainment
shoes,Entertainment
shopping,Entertainment
television,Entertainment
theatre,Entertainment
ticketing,Entertainment
tourism,Entertainment
travel,Entertainment
travel & tourism,Entertainment
video,Entertainment
video conferencing,Entertainment
video games,Entertainment
video on demand,Entertainment
video streaming,Entertainment
virtual workforces,Entertainment
voip,Entertainment
weddings,Entertainment
wine and spirits,Entertainment
wireless,Entertainment
active lifestyle,Health
alternative medicine,Health
animal feed,Health
assisitive technology,Health
assisted living,Health
babies,Health
baby accessories,Health
baby boomers,Health
baby safety,Health
beauty,Health
cannabis,Health
child care,Health
clinical trials,Health
cooking,Health
corporate wellness,Health
cosmetic surgery,Health
cosmetics,Health
dental,Health
diabetes,Health
diagnostics,Health
dietary supplements,Health
doctors,Health
elder care,Health
electronic health records,Health
exercise,Health
eyewear,Health
fitness,Health
genetic testing,Health
health and insurance,Health
health and wellness,Health
health care,Health
health care information technology,Health
health diagnostics,Health
health services industry,Health
healthcare services,Health
hospitals,Health
independent pharmacies,Health
lasers,Health
medical,Health
medical devices,Health
medical professionals,Health
mens specific,Health
mhealth,Health
mobile health,Health
neuroscience,Health
nutrition,Health
organic,Health
organic food,Health
outdoors,Health
personal health,Health
pets,Health
pharmaceuticals,Health
physicians,Health
public safety,Health
public transportation,Health
senior citizens,Health
senior health,Health
sextech,Health
specialty chemicals,Health
specialty foods,Health
speech recognition,Health
therapeutics,Health
veterinary,Health
3d,Manufacturing
3d printing,Manufacturing
3d technology,Manufacturing
advanced materials,Manufacturing
agriculture,Manufacturing
architecture,Manufacturing
batteries,Manufacturing
building products,Manufacturing
civil engineers,Manufacturing
communications hardware,Manufacturing
communications infrastructure,Manufacturing
computer vision,Manufacturing
computers,Manufacturing
construction,Manufacturing
consumer electronics,Manufacturing
consumer goods,Manufacturing
defense,Manufacturing
displays,Manufacturing
dod/military,Manufacturing
electrical distribution,Manufacturing
electronics,Manufacturing
embedded hardware and software,Manufacturing
farmers market,Manufacturing
farming,Manufacturing
fmcg,Manufacturing
food processing,Manufacturing
furniture,Manufacturing
gadget,Manufacturing
groceries,Manufacturing
handmade,Manufacturing
hardware,Manufacturing
hardware + software,Manufacturing
industrial,Manufacturing
manufacturing,Manufacturing
mobile infrastructure,Manufacturing
mobile software tools,Manufacturing
new product development,Manufacturing
new technologies,Manufacturing
optical communications,Manufacturing
storage,Manufacturing
app discovery,News..Search.and.Messaging
app marketing,News..Search.and.Messaging
app stores,News..Search.and.Messaging
application performance monitoring,News..Search.and.Messaging
application platforms,News..Search.and.Messaging
apps,News..Search.and.Messaging
archiving,News..Search.and.Messaging
blogging platforms,News..Search.and.Messaging
broadcasting,News..Search.and.Messaging
brokers,News..Search.and.Messaging
browser extensions,News..Search.and.Messaging
building owners,News..Search.and.Messaging
cable,News..Search.and.Messaging
call center automation,News..Search.and.Messaging
certification test,News..Search.and.Messaging
chat,News..Search.and.Messaging
china internet,News..Search.and.Messaging
classifieds,News..Search.and.Messaging
cloud-based music,News..Search.and.Messaging
cloud computing,News..Search.and.Messaging
cloud data services,News..Search.and.Messaging
cloud infrastructure,News..Search.and.Messaging
cloud management,News..Search.and.Messaging
cloud security,News..Search.and.Messaging
commercial real estate,News..Search.and.Messaging
comparison shopping,News..Search.and.Messaging
curated web,News..Search.and.Messaging
delivery,News..Search.and.Messaging
demographies,News..Search.and.Messaging
direct marketing,News..Search.and.Messaging
direct sales,News..Search.and.Messaging
domains,News..Search.and.Messaging
email,News..Search.and.Messaging
enterprise search,News..Search.and.Messaging
forums,News..Search.and.Messaging
gps,News..Search.and.Messaging
graphics,News..Search.and.Messaging
group sms,News..Search.and.Messaging
internet,News..Search.and.Messaging
internet infrastructure,News..Search.and.Messaging
internet radio market,News..Search.and.Messaging
internet service providers,News..Search.and.Messaging
journalism,News..Search.and.Messaging
local search,News..Search.and.Messaging
maps,News..Search.and.Messaging
meeting software,News..Search.and.Messaging
messaging,News..Search.and.Messaging
microblogging,News..Search.and.Messaging
mobile,News..Search.and.Messaging
mobile devices,News..Search.and.Messaging
mobile enterprise,News..Search.and.Messaging
mobile social,News..Search.and.Messaging
navigation,News..Search.and.Messaging
news,News..Search.and.Messaging
online dating,News..Search.and.Messaging
online rental,News..Search.and.Messaging
online reservations,News..Search.and.Messaging
online scheduling,News..Search.and.Messaging
online shopping,News..Search.and.Messaging
online travel,News..Search.and.Messaging
peer-to-peer,News..Search.and.Messaging
private social networking,News..Search.and.Messaging
professional networking,News..Search.and.Messaging
publishing,News..Search.and.Messaging
q&a,News..Search.and.Messaging
recruiting,News..Search.and.Messaging
ride sharing,News..Search.and.Messaging
search,News..Search.and.Messaging
search marketing,News..Search.and.Messaging
seo,News..Search.and.Messaging
web browsers,News..Search.and.Messaging
web design,News..Search.and.Messaging
advice,Others
algorithms,Others
all markets,Others
all students,Others
alumni,Others
angels,Others
collectibles,Others
college campuses,Others
distribution,Others
distributors,Others
diy,Others
document management,Others
e-commerce,Others
e-commerce platforms,Others
eda tools,Others
ediscovery,Others
edtech,Others
education,Others
emerging markets,Others
employment,Others
engineering firms,Others
enterprise 2.na,Others
enterprise application,Others
enterprise resource planning,Others
enterprise security,Others
enterprise software,Others
enterprises,Others
entrepreneur,Others
families,Others
field support services,Others
file sharing,Others
flash sales,Others
flash storage,Others
fleet management,Others
flowers,Others
freelancers,Others
fruit,Others
gay & lesbian,Others
general public worldwide,Others
geospatial,Others
gift card,Others
gift exchange,Others
gift registries,Others
governance,Others
government innovation,Others
governments,Others
guides,Others
high school students,Others
high schools,Others
high tech,Others
home owners,Others
home renovation,Others
homeland security,Others
homeless shelter,Others
hospitality,Others
human computer interaction,Others
human resource automation,Others
human resources,Others
humanitarian,Others
iaas,Others
ict,Others
identity,Others
indians,Others
indoor positioning,Others
intellectual asset management,Others
intellectual property,Others
intelligent systems,Others
interest graph,Others
ios,Others
ipad,Others
iphone,Others
it and cybersecurity,Others
it management,Others
k-12 education,Others
kids,Others
knowledge management,Others
landscaping,Others
language learning,Others
law enforcement,Others
lead generation,Others
lead management,Others
legal,Others
licensing,Others
life sciences,Others
linux,Others
local,Others
local based services,Others
local businesses,Others
local commerce,Others
location based services,Others
logistics,Others
logistics company,Others
low bid auctions,Others
loyalty programs,Others
m2m,Others
marketplaces,Others
mass customization,Others
match-making,Others
micro-enterprises,Others
mobile security,Others
mobility,Others
network security,Others
networking,Others
non-tech,Others
non profit,Others
nonprofits,Others
office space,Others
oil,Others
oil & gas,Others
oil and gas,Others
online education,Others
online identity,Others
open source,Others
opinions,Others
optimization,Others
outsourcing,Others
parenting,Others
parking,Others
personal data,Others
personalization,Others
pervasive computing,Others
physical security,Others
plumbers,Others
point of sale,Others
politics,Others
polling,Others
portals,Others
postal and courier services,Others
presentations,Others
printing,Others
privacy,Others
private school,Others
procurement,Others
product design,Others
product development services,Others
productivity,Others
productivity software,Others
professional services,Others
project management,Others
qr codes,Others
real estate,Others
real time,Others
realtors,Others
recreation,Others
religion,Others
rental housing,Others
reputation,Others
rfid,Others
robotics,Others
saas,Others
sales automation,Others
security,Others
sensors,Others
service industries,Others
service providers,Others
services,Others
shared services,Others
shipping,Others
simulation,Others
skill assessment,Others
small and medium businesses,Others
smart grid,Others
sns,Others
software,Others
staffing firms,Others
startups,Others
subscription service,Others
supply chain management,Others
surveys,Others
synchronization,Others
systems,Others
task management,Others
taxis,Others
tea,Others
technology,Others
telecommunications,Others
textiles,Others
tracking,Others
trading,Others
training,Others
translation,Others
universities,Others
university students,Others
usability,Others
user experience design,Others
user interface,Others
utilities,Others
vending and concessions,Others
watch,Others
web development,Others
web hosting,Others
web tools,Others
wholesale,Others
women,Others
young adults,Others
accounting,Social..Finance..Analytics..Advertising
ad targeting,Social..Finance..Analytics..Advertising
advertising,Social..Finance..Analytics..Advertising
advertising exchanges,Social..Finance..Analytics..Advertising
advertising networks,Social..Finance..Analytics..Advertising
advertising platforms,Social..Finance..Analytics..Advertising
analytics,Social..Finance..Analytics..Advertising
android,Social..Finance..Analytics..Advertising
anything capital intensive,Social..Finance..Analytics..Advertising
artificial intelligence,Social..Finance..Analytics..Advertising
auctions,Social..Finance..Analytics..Advertising
augmented reality,Social..Finance..Analytics..Advertising
b2b,Social..Finance..Analytics..Advertising
b2b express delivery,Social..Finance..Analytics..Advertising
banking,Social..Finance..Analytics..Advertising
big data,Social..Finance..Analytics..Advertising
big data analytics,Social..Finance..Analytics..Advertising
billing,Social..Finance..Analytics..Advertising
bpo services,Social..Finance..Analytics..Advertising
brand marketing,Social..Finance..Analytics..Advertising
bridging online and offline,Social..Finance..Analytics..Advertising
business analytics,Social..Finance..Analytics..Advertising
business development,Social..Finance..Analytics..Advertising
business information systems,Social..Finance..Analytics..Advertising
business intelligence,Social..Finance..Analytics..Advertising
business productivity,Social..Finance..Analytics..Advertising
business services,Social..Finance..Analytics..Advertising
career management,Social..Finance..Analytics..Advertising
career planning,Social..Finance..Analytics..Advertising
charities,Social..Finance..Analytics..Advertising
charity,Social..Finance..Analytics..Advertising
charter schools,Social..Finance..Analytics..Advertising
collaboration,Social..Finance..Analytics..Advertising
collaborative consumption,Social..Finance..Analytics..Advertising
college recruiting,Social..Finance..Analytics..Advertising
colleges,Social..Finance..Analytics..Advertising
communities,Social..Finance..Analytics..Advertising
consulting,Social..Finance..Analytics..Advertising
consumer behavior,Social..Finance..Analytics..Advertising
consumer internet,Social..Finance..Analytics..Advertising
consumer lending,Social..Finance..Analytics..Advertising
consumers,Social..Finance..Analytics..Advertising
contact centers,Social..Finance..Analytics..Advertising
contact management,Social..Finance..Analytics..Advertising
corporate it,Social..Finance..Analytics..Advertising
corporate training,Social..Finance..Analytics..Advertising
coupons,Social..Finance..Analytics..Advertising
coworking,Social..Finance..Analytics..Advertising
credit,Social..Finance..Analytics..Advertising
credit cards,Social..Finance..Analytics..Advertising
crm,Social..Finance..Analytics..Advertising
crowdfunding,Social..Finance..Analytics..Advertising
crowdsourcing,Social..Finance..Analytics..Advertising
custom retail,Social..Finance..Analytics..Advertising
customer service,Social..Finance..Analytics..Advertising
customer support tools,Social..Finance..Analytics..Advertising
cyber,Social..Finance..Analytics..Advertising
cyber security,Social..Finance..Analytics..Advertising
data center automation,Social..Finance..Analytics..Advertising
data center infrastructure,Social..Finance..Analytics..Advertising
data centers,Social..Finance..Analytics..Advertising
data integration,Social..Finance..Analytics..Advertising
data mining,Social..Finance..Analytics..Advertising
data privacy,Social..Finance..Analytics..Advertising
data security,Social..Finance..Analytics..Advertising
data visualization,Social..Finance..Analytics..Advertising
databases,Social..Finance..Analytics..Advertising
debt collecting,Social..Finance..Analytics..Advertising
developer apis,Social..Finance..Analytics..Advertising
developer tools,Social..Finance..Analytics..Advertising
development platforms,Social..Finance..Analytics..Advertising
direct advertising,Social..Finance..Analytics..Advertising
discounts,Social..Finance..Analytics..Advertising
email marketing,Social..Finance..Analytics..Advertising
email newsletters,Social..Finance..Analytics..Advertising
employer benefits programs,Social..Finance..Analytics..Advertising
enterprise purchasing,Social..Finance..Analytics..Advertising
estimation and quoting,Social..Finance..Analytics..Advertising
face recognition,Social..Finance..Analytics..Advertising
facebook applications,Social..Finance..Analytics..Advertising
finance,Social..Finance..Analytics..Advertising
finance technology,Social..Finance..Analytics..Advertising
financial exchanges,Social..Finance..Analytics..Advertising
financial services,Social..Finance..Analytics..Advertising
fintech,Social..Finance..Analytics..Advertising
fraud detection,Social..Finance..Analytics..Advertising
freemium,Social..Finance..Analytics..Advertising
gold,Social..Finance..Analytics..Advertising
group buying,Social..Finance..Analytics..Advertising
hedge funds,Social..Finance..Analytics..Advertising
identity management,Social..Finance..Analytics..Advertising
image recognition,Social..Finance..Analytics..Advertising
impact investing,Social..Finance..Analytics..Advertising
incentives,Social..Finance..Analytics..Advertising
incubators,Social..Finance..Analytics..Advertising
information security,Social..Finance..Analytics..Advertising
information services,Social..Finance..Analytics..Advertising
information technology,Social..Finance..Analytics..Advertising
infrastructure,Social..Finance..Analytics..Advertising
innovation engineering,Social..Finance..Analytics..Advertising
innovation management,Social..Finance..Analytics..Advertising
insurance,Social..Finance..Analytics..Advertising
internet marketing,Social..Finance..Analytics..Advertising
internet of things,Social..Finance..Analytics..Advertising
investment management,Social..Finance..Analytics..Advertising
local advertising,Social..Finance..Analytics..Advertising
lotteries,Social..Finance..Analytics..Advertising
machine learning,Social..Finance..Analytics..Advertising
market research,Social..Finance..Analytics..Advertising
marketing automation,Social..Finance..Analytics..Advertising
mobile advertising,Social..Finance..Analytics..Advertising
mobile analytics,Social..Finance..Analytics..Advertising
mobile commerce,Social..Finance..Analytics..Advertising
mobile payments,Social..Finance..Analytics..Advertising
mobile shopping,Social..Finance..Analytics..Advertising
monetization,Social..Finance..Analytics..Advertising
moneymaking,Social..Finance..Analytics..Advertising
multi-level marketing,Social..Finance..Analytics..Advertising
p2p money transfer,Social..Finance..Analytics..Advertising
paas,Social..Finance..Analytics..Advertising
payments,Social..Finance..Analytics..Advertising
performance marketing,Social..Finance..Analytics..Advertising
personal branding,Social..Finance..Analytics..Advertising
personal finance,Social..Finance..Analytics..Advertising
pre seed,Social..Finance..Analytics..Advertising
predictive analytics,Social..Finance..Analytics..Advertising
price comparison,Social..Finance..Analytics..Advertising
promotional,Social..Finance..Analytics..Advertising
property management,Social..Finance..Analytics..Advertising
public relations,Social..Finance..Analytics..Advertising
retail,Social..Finance..Analytics..Advertising
retail technology,Social..Finance..Analytics..Advertising
risk management,Social..Finance..Analytics..Advertising
sales and marketing,Social..Finance..Analytics..Advertising
social + mobile + local,Social..Finance..Analytics..Advertising
social bookmarking,Social..Finance..Analytics..Advertising
social business,Social..Finance..Analytics..Advertising
social buying,Social..Finance..Analytics..Advertising
social commerce,Social..Finance..Analytics..Advertising
social crm,Social..Finance..Analytics..Advertising
social fundraising,Social..Finance..Analytics..Advertising
social games,Social..Finance..Analytics..Advertising
social media,Social..Finance..Analytics..Advertising
social media management,Social..Finance..Analytics..Advertising
social media marketing,Social..Finance..Analytics..Advertising
social media platforms,Social..Finance..Analytics..Advertising
social network media,Social..Finance..Analytics..Advertising
social news,Social..Finance..Analytics..Advertising
social recruiting,Social..Finance..Analytics..Advertising
social television,Social..Finance..Analytics..Advertising
social travel,Social..Finance..Analytics..Advertising
stock exchanges,Social..Finance..Analytics..Advertising
venture capital,Social..Finance..Analytics..Advertising
